Country,Alcohol,Happiness Score,,,,
Denmark,194.333333333333,7.526,,,,
Switzerland,188.333333333333,7.509,,,,
Iceland,124,7.501,,,,
Norway,123,7.498,,,,
Finland,164.333333333333,7.413,,,,
Canada,154,7.404,,,,
Netherlands,176.333333333333,7.339,,,,
New Zealand,152.333333333333,7.334,,,,
Australia,181.666666666667,7.313,,,,
Sweden,132.666666666667,7.291,,,,
Israel,47,7.267,,,,
Austria,181.666666666667,7.119,,,,
United States,163.666666666667,7.104,,,,
Costa Rica,82.3333333333333,7.087,,,,
Germany,212.666666666667,6.994,,,,
Brazil,135.333333333333,6.952,,,,
Belgium,197,6.929,,,,
Ireland,198.666666666667,6.907,,,,
Luxembourg,213.333333333333,6.871,,,,
Mexico,103.666666666667,6.778,,,,
Singapore,27.6666666666667,6.739,,,,
United Kingdom,180,6.725,,,,
Chile,142,6.705,,,,
Panama,135.666666666667,6.701,,,,
Argentina,146.333333333333,6.650,,,,
Czech Republic,221.666666666667,6.596,,,,
United Arab Emirates,52,6.573,,,,
Uruguay,123.333333333333,6.545,,,,
Malta,123,6.488,,,,
Colombia,79.3333333333333,6.481,,,,
France,216,6.478,,,,
Thailand,119.333333333333,6.474,,,,
Qatar,16.6666666666667,6.375,,,,
Spain,184.333333333333,6.361,,,,
Guatemala,41.3333333333333,6.324,,,,
Suriname,104.333333333333,6.269,,,,
Bahrain,37.3333333333333,6.218,,,,
Trinidad and Tobago,120,6.168,,,,
Venezuela,145.333333333333,6.084,,,,
Slovakia,201.666666666667,6.078,,,,
El Salvador,41,6.068,,,,
Nicaragua,65.6666666666667,5.992,,,,
Uzbekistan,44.6666666666667,5.987,,,,
Italy,121.333333333333,5.977,,,,
Ecuador,79.6666666666667,5.976,,,,
Belize,128.333333333333,5.956,,,,
Japan,98.3333333333333,5.921,,,,
Kazakhstan,127.333333333333,5.919,,,,
Moldova,117.666666666667,5.897,,,,
Russian Federation,215.333333333333,5.856,,,,
Poland,204.666666666667,5.835,,,,
South Korea,55,5.835,,,,
Bolivia,72,5.822,,,,
Lithuania,214.333333333333,5.813,,,,
Belarus,185.666666666667,5.802,,,,
Slovenia,199,5.768,,,,
Peru,114.666666666667,5.743,,,,
Turkmenistan,40.6666666666667,5.658,,,,
Mauritius,49,5.648,,,,
Latvia,186.333333333333,5.560,,,,
Cyprus,153,5.546,,,,
Paraguay,134.666666666667,5.538,,,,
Romania,195.333333333333,5.528,,,,
Estonia,159,5.517,,,,
Jamaica,62.6666666666667,5.510,,,,
Croatia,190.333333333333,5.488,,,,
Turkey,26.6666666666667,5.389,,,,
Jordan,9.33333333333333,5.303,,,,
Azerbaijan,24,5.291,,,,
Philippines,86,5.279,,,,
China,93,5.245,,,,
Kyrgyzstan,44.6666666666667,5.185,,,,
Serbia,180.333333333333,5.177,,,,
Bosnia and Herzegovina,85.6666666666667,5.163,,,,
Montenegro,91,5.161,,,,
Dominican Republic,116.333333333333,5.155,,,,
Morocco,9.33333333333333,5.151,,,,
Hungary,211.333333333333,5.145,,,,
Lebanon,35.3333333333333,5.129,,,,
Portugal,200,5.123,,,,
Macedonia,73,5.121,,,,
Vietnam,38,5.061,,,,
Tunisia,24.6666666666667,5.045,,,,
Greece,154.333333333333,5.033,,,,
Mongolia,91.3333333333333,4.907,,,,
Nigeria,16.3333333333333,4.875,,,,
Honduras,56.3333333333333,4.871,,,,
Zambia,18.3333333333333,4.795,,,,
Albania,91.6666666666667,4.655,,,,
Sierra Leone,10,4.635,,,,
Namibia,126.666666666667,4.574,,,,
Cameroon,50.6666666666667,4.513,,,,
South Africa,127.333333333333,4.459,,,,
Egypt,3.66666666666667,4.362,,,,
Armenia,70.3333333333333,4.360,,,,
Kenya,27.3333333333333,4.356,,,,
Ukraine,162.666666666667,4.324,,,,
Ghana,14.6666666666667,4.276,,,,
Dem. Rep. Congo,12,4.272,,,,
Georgia,100.333333333333,4.252,,,,
Rep. Congo,28.6666666666667,4.236,,,,
Senegal,5.66666666666667,4.219,,,,
Bulgaria,192.333333333333,4.217,,,,
Zimbabwe,28.6666666666667,4.193,,,,
Malawi,6.66666666666667,4.156,,,,
Gabon,168,4.121,,,,
Mali,2.33333333333333,4.073,,,,
Haiti,109.333333333333,4.028,,,,
Botswana,81,3.974,,,,
Comoros,1.66666666666667,3.956,,,,
Cote d'Ivoire,15,3.916,,,,
Cambodia,41,3.907,,,,
Angola,106.333333333333,3.866,,,,
Niger,2,3.856,,,,
Chad,5.66666666666667,3.763,,,,
Burkina Faso,13,3.739,,,,
Madagascar,15,3.695,,,,
Tanzania,14.3333333333333,3.666,,,,
Liberia,57.6666666666667,3.622,,,,
Benin,17,3.484,,,,
Togo,19,3.303,,,,
Syria,18.6666666666667,3.069,,,,